sku,product_name,locale
NUDEL_005,Pasta di farro germinato bio | 2 kg,it_IT
STRAW_001,Cannucce in vetro | 10 pz. e 2 strumenti per pulizia,it_IT
TEE_003,Menta piperita tritata bio | 500 g,it_IT
SAUCE_003,Sugo all'arrabbiata | 530 g,it_IT
SAUCE_003_T6,Sugo all'arrabbiata | 6 x 530 g,it_IT
FLAP_008_T15,Barretta al banana bread bio | 15 x 60 g,it_IT
FLAP_008,Barretta al banana bread bio | 60 g,it_IT
ZUCKER_018_T8,Sciroppo di barbabietola da zucchero bio | 8 x 450 ml,it_IT
ZUCKER_018,Sciroppo di barbabietola da zucchero bio | 450 ml,it_IT
LINSW_001,Gallette di lenticchie bio | 100 g,it_IT
LINSW_001_T12,Gallette di lenticchie bio | 12 x 100 g,it_IT
KIWI_002,Kiwi essiccati | 500 g,it_IT
GUARANA_002,Polvere di guaranà | 300 g,it_IT
CRIS_014,Cereali proteici al 48% al cacao | 1 kg,it_IT
TOFU_003_T6,Tofu al naturale bio | 6 x 200 g,it_IT
TOFU_003,Tofu al naturale bio | 200 g,it_IT
TOFU_003_T10,nan,it_IT
NUDEL_008,Fusilli di piselli verdi bio | 2 kg,it_IT
KOKOS_045,Latte di cocco in polvere bio | 1 kg,it_IT
PUZZ_001,"Puzzle ""Il colorato mondo di KoRo"" | 1000 pezzi",it_IT
OLIVE_007_T12,Crema spalmabile alle olive nere bio | 12 x 350 g,it_IT
OLIVE_007,Crema spalmabile di olive nere bio | 350 g,it_IT
HUELSEN_040_T12,Fagioli rossi kidney pronti all'uso in barattolo bio | 12 x 240 g,it_IT
HUELSEN_040,Fagioli rossi kidney pronti all'uso in barattolo bio | 240 g,it_IT
BROTB_006,Contenitori in vetro con coperchio | 4 pz.,it_IT
ADV_22_C,Calendario dell'Avvento KoRo 2022 | Classic,it_IT
LEBK_003,"Biscotti pan di zenzero a stella, cuore e brezel bio | 1kg",it_IT
NEM_015,Zinco in compresse | 365 pz.,it_IT
ADV_22_F,Calendario dell'Avvento KoRo 2022 | Frutta,it_IT
ADV_22_N,Calendario dell'Avvento KoRo 2022 | Frutta secca,it_IT
KEKS_010,Doppio biscotto di avena con ripieno di burro di arachidi | 180 g,it_IT
KEKS_010_T12,Doppio biscotto di avena con ripieno di burro di arachidi | 20 x 180 g,it_IT
KEKS_014,Doppio biscotto di avena con ripieno di crema di arachidi | 180 g,it_IT
KEKS_014_T12,Doppio biscotto di avena con ripieno di crema di arachidi | 12 x 180 g,it_IT
DECKEL_006_T3,Separatore per barattoli Ball Mason Jar 86 mm | 3 Pz.,it_IT
DECKEL_006,Separatore per barattoli Ball Mason Jar | 86 mm,it_IT
DECKEL_003,Coperchio a bocca larga in acciaio inox | diametro 87 mm,it_IT
YOGA_004,Blocco yoga in sughero,it_IT
