sku,main_category
PROTEIN_045_ZW_T12,Bars
DISPLAY_008,Display
PROTEIN_023_ZW_T12,Bars
DISPLAY_011,Display
MUS_005_B2,Nutbutter & Spreads
DISPLAY_028,Display
DISPLAY_034,Display
DISPLAY_039,Display
DISPLAY_042,None
PROTEIN_051_ZW_T12,Bars
GIFT_VOUCHER,Other
KAFFEE_023,Breakfast
KOKOS_010_T4,Other
SUN30_001,Other
ABO_069,Baking & Cooking
CUT_002,Other
ZUCKER_017,Baking & Cooking
PULVER_014,Dried Fruits & Nuts
ABO_070,Baking & Cooking
KUBB_001,Other
BIWA_001,Other
KUERBIS_003_ZW,Dried Fruits & Nuts
ERDNUSS_003_ZW,Dried Fruits & Nuts
HIM_012_ZW,Snacks
MEHL_014_ZW,Baking & Cooking
PROTEIN_010_ZW,Breakfast
MUS_006_ZW,Nutbutter & Spreads
DECKEL_005,Other
DECKEL_006,Other
DECKEL_008,Other
DECKEL_010,Other
DECKEL_007,Other
DECKEL_009,Other
DECKEL_008_T6,Other
DECKEL_009_T3,Other
DECKEL_010_T6,Other
REIBE_001,Other
REIBE_002,Other
DECKEL_005_T6,Other
DECKEL_006_T3,Other
KANNE_001,Other
BRETT_002,Other
KOCHER_006,Other
ABO_075,Snacks
EMEHL_001,Baking & Cooking
RIEGEL_053_AKTION,Bars
KOKOS_045,Baking & Cooking
ERDSCHA_003_ZW,Snacks
NUSS_001_ZW,Snacks
KICH_002_ZW,Snacks
LIK_001,Other
SJUICER_003,Other
SJUICER_004,Other
SJUICER_005,Other
SJUICER_006,Other
SJUICER_007,Other
ADV_22_C,Other
ADV_22_V,Other
ADV_22_N,Other
ADV_22_F,Other
ADV_22_E,Other
FLIPS_013,Snacks
MESSER_001,Other
SCHERE_001,Other
MUS_114_ZW,Nutbutter & Spreads
RIEGEL_013_ZW,Bars
BROKER_005,None
BROKER_006,None
ABO_076,None
FORM_004,Other
DRINK_013_ZW,Baking & Cooking
DISPLAY_006,None
NEM_016,Protein Superfood & Supplements
CRIS_008_B2,None
SJUICER_008,None
RABO_052,None
BOWL_001_ZW,Other
BEREITER_019,None
MIXER_012,None
MIXER_013,None
KICH_001_ZW,Snacks
DISPLAY_007,None
DOSE_004,Other
DOSE_005,Other
