order_date,reporting_channel,total_orders,first_orders,pct_new_customers
2025-04-01,Direct,232,221,95.26
2025-04-01,Email,41,41,100
2025-04-01,Google,125,117,93.6
2025-04-01,Influencer,35,32,91.43
2025-04-01,Meta,3,2,66.67
2025-04-01,Organic Search,12,11,91.67
2025-04-01,Organic Social,1,1,100
2025-04-01,Overall,996,933,93.67
2025-04-01,Referral,1,1,100
2025-04-01,Unknown,546,507,92.86
2025-04-02,Direct,177,171,96.61
2025-04-02,Email,10,10,100
2025-04-02,Google,73,70,95.89
2025-04-02,Influencer,28,27,96.43
2025-04-02,Meta,1,1,100
2025-04-02,Organic Search,10,10,100
2025-04-02,Organic Social,1,1,100
2025-04-02,Overall,619,592,95.64
2025-04-02,Unknown,319,302,94.67
2025-04-03,Direct,146,139,95.21
2025-04-03,Email,9,9,100
2025-04-03,Google,96,91,94.79
2025-04-03,Influencer,21,19,90.48
2025-04-03,Meta,1,1,100
2025-04-03,Organic Search,10,9,90
2025-04-03,Organic Social,2,2,100
2025-04-03,Overall,588,553,94.05
2025-04-03,Unknown,303,283,93.4
2025-04-04,Direct,118,109,92.37
2025-04-04,Email,7,7,100
2025-04-04,Google,83,80,96.39
2025-04-04,Influencer,11,10,90.91
2025-04-04,Organic Search,6,5,83.33
2025-04-04,Organic Social,1,1,100
2025-04-04,Overall,491,464,94.5
2025-04-04,Unknown,265,252,95.09
2025-04-05,Affiliate,1,1,100
2025-04-05,Direct,100,95,95
2025-04-05,Email,3,2,66.67
2025-04-05,Google,72,70,97.22
2025-04-05,Influencer,15,13,86.67
2025-04-05,Meta,2,2,100
2025-04-05,Organic Search,11,11,100
2025-04-05,Organic Social,3,3,100
2025-04-05,Overall,481,451,93.76
2025-04-05,Unknown,274,254,92.7
2025-04-06,Affiliate,1,1,100
2025-04-06,Direct,117,112,95.73
2025-04-06,Email,5,5,100
2025-04-06,Google,102,97,95.1
2025-04-06,Influencer,11,10,90.91
2025-04-06,Meta,2,2,100
2025-04-06,Organic Search,14,14,100
2025-04-06,Overall,530,499,94.15
2025-04-06,Unknown,278,258,92.81
2025-04-07,Direct,141,135,95.74
2025-04-07,Email,7,7,100
2025-04-07,Google,98,95,96.94
2025-04-07,Influencer,25,25,100
2025-04-07,Meta,2,2,100
2025-04-07,Organic Search,16,15,93.75
2025-04-07,Overall,630,595,94.44
2025-04-07,Unknown,341,316,92.67
2025-04-08,Direct,131,122,93.13
2025-04-08,Email,6,5,83.33
2025-04-08,Google,76,73,96.05
2025-04-08,Influencer,21,20,95.24
2025-04-08,Meta,7,7,100
2025-04-08,Organic Search,10,10,100
2025-04-08,Organic Social,1,1,100
2025-04-08,Overall,548,515,93.98
2025-04-08,Unknown,296,277,93.58
2025-04-09,Affiliate,1,1,100
2025-04-09,Direct,152,139,91.45
2025-04-09,Email,6,6,100
2025-04-09,Google,110,104,94.55
2025-04-09,Influencer,28,27,96.43
2025-04-09,Meta,1,1,100
2025-04-09,Organic Search,18,17,94.44
2025-04-09,Organic Social,1,1,100
2025-04-09,Overall,687,624,90.83
2025-04-09,Unknown,370,328,88.65
2025-04-10,Direct,133,124,93.23
2025-04-10,Email,6,6,100
2025-04-10,Google,84,78,92.86
2025-04-10,Influencer,15,13,86.67
2025-04-10,Meta,3,3,100
2025-04-10,Organic Search,10,10,100
2025-04-10,Organic Social,1,1,100
2025-04-10,Overall,608,549,90.3
2025-04-10,Referral,1,1,100
2025-04-10,Unknown,355,313,88.17
2025-04-11,Affiliate,2,2,100
